Subjective_Company,Objective_Company,Relation,Times
Pearson Plc,Acquire,Grupo Multi,1
GE,Acquire,Thermo Fisher,1
Lansdowne Partners LLP,Acquire,Twitter Inc.,2
Icahn,Acquire,Park Ridge,1
Tsinlien Group Co,Acquire,Famous Ever Group Ltd.,1
Ricardo Salinas,Own,Grupo Iusacell SA,1
Blackstone Group LP,Acquire,Koe Galerie,2
SoftBank,Acquire,Sprint Corp,1
United Spirits,Acquire,Whyte & Mackay,1
Lonmin,Invest_In,Shanduka,1
McGraw-Hill Cos.,Own,CMA,1
Saks,Acquire,Hudson 's Bay Co,1
Siemens,Acquire,Rolls-Royce,1
Sanofi,Acquire,Genzyme Corp,1
Tian Hong Asset Management Co,Invest_In,Yu’E Bao,1
Saudi Aramco,Acquire,Hanjin Energy Co,1
Banesco Group,Acquire,NCG Banco,2
Fiat SpA,Merge,Chrysler Group LLC,1
EMC Corp,Own,VMware,1
KKR & Co.,Acquire,Oriental Brewery,2
Oi SA,Acquire,Portugal Telecom SGPS SA,1
Murdoch Competition Liberty Global,Acquire,Virgin Media Inc,2
Carrefour,Acquire,DIA,1
Gannett,Acquire,Belo,1
Verizon Communications Inc,Acquire,Vodafone Group Plc,1
Suntory Holdings Ltd,Acquire,Beam Inc.,2
John Malone,Acquire,Charter Communications Inc,1
Yunfeng,Invest_In,Alibaba,2
Merlin,Acquire,Tree Inversiones Inmobiliarias SA,1
Canada Pension Plan Investment Board,Acquire,Neiman Marcus Inc,1
Fiat SpA,Acquire,Chrysler Group LLC,1
Argonaut,Acquire,Bermuda,1
Carl Icahn,Acquire,$ 36 billion,1
GE,Acquire,Alstom,1
Kraft,Acquire,Cadbury,1
Dubai Islamic,Acquire,PT Bank Panin Syariah Tbk,1
Roche,Acquire,IQuum Inc,1
Daniel Loeb,Acquire,T-Mobile US Inc,1
Breca Group,Acquire,Melon SA,1
Google Ventures,Invest_In,Nest,1
Saji,Acquire,Orangina,2
Bank of America,Acquire,Countrywide,1
Centurion Investments,Acquire,Apax,1
B&N Bank JSC,Own,Asokerco Trading Limited LLC,1
Bancorp,Acquire,Citizens Financial Group Inc,2
Flipkart,Acquire,Myntracom,1
Sysco,Acquire,Rosemont,1
McVitie & Price,Merge,MacFarlane Lang,1
Sports Direct International Plc,Acquire,Debenhams Plc,1
South African,Acquire,Barclays,1
Fonterra Cooperative Group Ltd,Acquire,Bega,1
Leucadia,Acquire,Jefferies,1
Forest Laboratories Inc,Acquire,Aptalis Pharma,3
SoftBank,Acquire,Overland Park,1
Sysco Corp,Acquire,US Foods,2
Martin Marietta Materials Inc,Acquire,Texas Industries Inc.,1
Clydesdale,Acquire,Virgin Media Inc.,2
NAB,Acquire,Clydesdale,1
Sprint,Acquire,Clearwire,1
M&T,Acquire,Hudson City,1
Myntracom,Acquire,Amazoncom Inc.,1
Tencent,Acquire,A,1
Pentair,Acquire,Tyco International Ltd,1
Aramco,Acquire,Hanjin,1
Rosneft,Acquire,TNK-BP,1
Hitachi,Invest_In,Hiroaki Nakanishi,1
Shanduka,Invest_In,Lonmin,1
Tan,Acquire,PT Borneo Lumbung Energi & Metal,1
KKR & Co,Acquire,Sedgwick Claims Management Services Inc.,2
Ion Torrent,Acquire,California-based Life Technologies Corp,1
Alnylam,Acquire,Merck,1
Bridgepoint,Own,Diaverum AB,1
BlackRock,Acquire,Scientific Active Equities,1
Hyundai Group,Acquire,Hyundai Elevator Co.,1
Bank Islam Malaysia Bhd,Acquire,BIMB Holding Bhd,1
Elliott,Acquire,Riverbed Technology Inc.,1
Bank,Acquire,Plaza Las Fuentes,1
BlackRock,Acquire,REG,2
Holloway,Merge,Equitable Investment Corp,1
VMware,Acquire,Desktone Inc,1
Tata Steel,Acquire,Corus Group,2
InBev NV,Acquire,Anheuser-Busch Cos.,3
Hewlett-Packard,Acquire,Bitfone Corp,1
California-based Life Technologies Corp,Acquire,Ion Torrent,1
Shanduka,Invest_In,300 million rand,1
Jana,Invest_In,Boeing Co.,1
Cerrejon,Own,BHP,1
Abbott,Acquire,Kalo Pharma Internacional SL,1
Statoil,Acquire,Tullow,1
Carlos Slim,Acquire,AT&T Inc,1
Novartis,Acquire,Glaxo,1
Morgan,Acquire,APT,2
SoftBank,Acquire,Sprint,1
Equitable,Acquire,Donaldson , Lufkin & Jenrette Inc,1
Frankfurt Stock Exchange,Acquire,Impendium Systems,1
Blackstone,Own,Koe Galerie,2
BlackRock,Acquire,Barclays Global Investors,1
Dun & Bradstreet Corp.,Own,Hoover 's Inc,1
Qatar Petroleum International,Acquire,Canadian Natural Gas,2
Microsoft,Acquire,Nokia,1
Google Inc,Acquire,Nest Labs,1
Icahn Stake EBay,Acquire,PayPal,1
Imperial Tobacco Group Plc,Acquire,Reynolds,1
Citigroup Inc,Own,Akbank TAS,1
Grana y Montero SA,Acquire,Enersis Compania Americana de Multiservicios,1
Court Square Capital Partners LP,Acquire,Wyle,2
Grupo Televisa SAB,Own,Grupo Iusacell SA,1
Bega,Acquire,Fonterra Cooperative Group Ltd,1
Oaktree Capital Management LP,Acquire,Republic Services Corp.,1
Actavis Plc,Acquire,Warner Chilcott,1
Mega,Acquire,TRS Investments Ltd.,1
National Social Security Fund,Acquire,China Life Insurance Co.,1
TPG Capital,Invest_In,TXU Corp,1
AB InBev,Acquire,Oriental Brewery,1
Panasonic,Acquire,Epco,1
Mubadala,Invest_In,Batista 's EBX Group Co.,1
Carlyle Group LP,Acquire,Ortho Clinical,2
SMA Solar Technology,Acquire,Phoenix Solar AG,1
Goldman Sachs Group Inc,Own,Education Management Co,1
Allianz Real Estate,Acquire,Koe Galerie,2
BAE,Acquire,Detica Group Plc,1
Merck,Acquire,Serono,1
ADP,Acquire,TAV,2
Yu’E Bao,Invest_In,Hangzhou-based,1
Shuanghui,Acquire,September,1
Logista,Acquire,Imperial,1
GSH,Acquire,TYJ Group Pte.,2
Fiat,Merge,Chrysler,3
Richardson GMP,Acquire,Macquarie Private Wealth Canada,2
Yahoo,Acquire,Tumblr Inc,1
Downtown Properties,Acquire,Plaza Las Fuentes,1
RBI Solar Inc,Acquire,Centrosolar Group AG,1
Fiat SpA,Acquire,Chrysler,1
Schneider,Acquire,Invensys,1
Zachodni,Merge,Kredyt Bank SA,1
Valeant,Acquire,Obagi Medical Products Inc,1
Community Health Systems Inc,Acquire,XYZ,1
Mercer Africa Ltd,Acquire,Alex Forbes,1
Energy Transfer Partners LP,Acquire,Sunoco Inc,1
ICBC,Acquire,Standard Bank,1
Carlsbad,Acquire,Ion Torrent,1
La Caixa,Own,Agbar,1
La Caisse,Acquire,Dong Energy A/S,1
Valley National Bancorp,Acquire,1st United Bancorp,1
Alnylam,Acquire,Merck & Co.,1
Clydesdale,Acquire,UK,2
Agbar,Own,La Caixa,1
Verso,Acquire,NewPage,2
Dixon & Bell,Merge,Troutman Sanders,1
Verizon,Acquire,Hughes Telematics Inc.,1
Icahn,Acquire,30 million,1
KKR,Acquire,Mitchell International Inc.,2
300 million rand,Invest_In,Shanduka,1
Aegon,Acquire,Banco Santander Totta SA,1
Eli Lilly & Co.,Acquire,ImClone Systems Inc,1
today,Acquire,Kurt Zouma,1
Suntory,Acquire,PepsiCo Inc.,2
Yu’E Bao,Invest_In,Tian Hong Asset Management Co,1
Lampert,Merge,Kmart Holding Corp Austrian Merger Biolitec,1
BHP,Own,Cerrejon,1
Namenda,Acquire,Aptalis Pharma,1
Continental,Acquire,Veyance,1
Microsoft Corp,Acquire,Nokia Oyj,1
Apollo,Acquire,Altamira,1
ICE,Acquire,NYSE Euronext,1
Alfa Romeo,Merge,Chrysler,1
Flipkart,Acquire,Myntra,1
Diageo,Acquire,United Spirits,1
Aptalis,Acquire,Eurand NV,1
CMCSA,Acquire,AT&T Broadband,1
